r1	NC_009925.0
r635	NC_004432.4
r636	NC_000912.0
r637	NC_000912.1
r638	NC_000912.2
r639	NC_000912.3
r640	NC_000912.4
r641	NC_002771.0
r642	NC_002771.1
r643	NC_002771.2
r644	NC_002771.3
r645	NC_002771.4
r646	NC_007294.0
r647	NC_007294.1
r648	NC_007294.2
r649	NC_007294.3
r650	NC_007294.4
r651	NC_005213.0
r652	NC_005213.1
r653	NC_005213.2
r654	NC_005213.3
r655	NC_005213.4
r656	NC_007426.0
r657	NC_007426.1
r658	NC_007426.2
r659	NC_007426.3
r660	NC_007426.4
r661	NC_007427.10
r662	NC_007427.11
r663	NC_007427.12
r664	NC_007427.13
r665	NC_007427.14
r666	NC_007406.0
r667	NC_007406.1
r668	NC_007406.2
r669	NC_007406.3
r670	NC_007406.4
r671	NC_007484.0
r672	NC_007484.1
r673	NC_007484.2
r674	NC_007484.3
r675	NC_007484.4
r676	NC_004757.0
r677	NC_004757.1
r678	NC_004757.2
r679	NC_004757.3
r680	NC_004757.4
r681	NC_007614.0
r682	NC_007614.1
r683	NC_007614.2
r684	NC_007614.3
r685	NC_007614.4
r686	NC_006361.0
r687	NC_006361.1
r688	NC_006361.2
r689	NC_006361.3
r690	NC_006361.4
r691	NC_006362.10
r692	NC_006362.11
r693	NC_006362.12
r694	NC_006362.13
r695	NC_006362.14
r696	NC_006363.20
r697	NC_006363.21
r698	NC_006363.22
r699	NC_006363.23
r700	NC_006363.24
r701	NC_004193.0
r702	NC_004193.1
r703	NC_004193.2
r704	NC_004193.3
r705	NC_004193.4
r706	NC_005303.0
r707	NC_005303.1
r708	NC_005303.2
r709	NC_005303.3
r710	NC_005303.4
r711	NC_005861.0
r712	NC_005861.1
r713	NC_005861.2
r714	NC_005861.3
r715	NC_005861.4
r716	NC_002663.0
r717	NC_002663.1
r718	NC_002663.2
r719	NC_002663.3
r720	NC_002663.4
r721	NC_007498.0
r722	NC_007498.1
r723	NC_007498.2
r724	NC_007498.3
r725	NC_007498.4
r726	NC_010546.0
r727	NC_010546.1
r728	NC_010546.2
r729	NC_010546.3
r730	NC_010546.4
r731	NC_010547.10
r732	NC_010547.11
r733	NC_010547.12
r734	NC_010547.13
r735	NC_010547.14
r736	NC_007512.0
r737	NC_007512.1
r738	NC_007512.2
r739	NC_007512.3
r740	NC_007512.4
r741	NC_005871.0
r742	NC_005871.1
r743	NC_005871.2
r744	NC_005871.3
r745	NC_005871.4
r746	NC_006370.10
r747	NC_006370.11
r748	NC_006370.12
r749	NC_006370.13
r750	NC_006370.14
r751	NC_006371.20
r752	NC_006371.21
r753	NC_006371.22
r754	NC_006371.23
r755	NC_006371.24
r756	NC_005126.0
r757	NC_005126.1
r758	NC_005126.2
r759	NC_005126.3
r760	NC_005126.4
r761	NC_005877.0
r762	NC_005877.1
r763	NC_005877.2
r764	NC_005877.3
r765	NC_005877.4
r766	NC_007481.0
r767	NC_007481.1
r768	NC_007481.2
r769	NC_007481.3
r770	NC_007481.4
r771	NC_007482.10
r772	NC_007482.11
r773	NC_007482.12
r774	NC_007482.13
r775	NC_007482.14
r776	NC_007204.0
r777	NC_007204.1
r778	NC_007204.2
r779	NC_007204.3
r780	NC_007204.4
r781	NC_003364.0
r782	NC_003364.1
r783	NC_003364.2
r784	NC_003364.3
r785	NC_003364.4
r786	NC_000868.0
r787	NC_000868.1
r788	NC_000868.2
r789	NC_000868.3
r790	NC_000868.4
r791	NC_003413.0
r792	NC_003413.1
r793	NC_003413.2
r794	NC_003413.3
r795	NC_003413.4
r796	NC_000961.0
r797	NC_000961.1
r798	NC_000961.2
r799	NC_000961.3
r800	NC_000961.4
r801	NC_011386.0
r802	NC_011386.1
r803	NC_011386.2
r804	NC_011386.3
r805	NC_011386.4
r806	NC_011420.0
r807	NC_011420.1
r808	NC_011420.2
r809	NC_011420.3
r810	NC_011420.4
r811	NC_006087.0
r812	NC_006087.1
r813	NC_006087.2
r814	NC_006087.3
r815	NC_006087.4
r816	NC_006085.0
r817	NC_006085.1
r818	NC_006085.2
r819	NC_006085.3
r820	NC_006085.4
r821	NC_007912.0
r822	NC_007912.1
r823	NC_007912.2
r824	NC_007912.3
r825	NC_007912.4
r826	NC_007333.0
r827	NC_007333.1
r828	NC_007333.2
r829	NC_007333.3
r830	NC_007333.4
r831	NC_007777.0
r832	NC_007777.1
r833	NC_007777.2
r834	NC_007777.3
r835	NC_007777.4
r836	NC_011296.0
r837	NC_011296.1
r838	NC_011296.2
r839	NC_011296.3
r840	NC_011296.4
r841	NC_007794.0
r842	NC_007794.1
r843	NC_007794.2
r844	NC_007794.3
r845	NC_007794.4
r846	NC_009426.10
r847	NC_009426.11
r848	NC_009426.12
r849	NC_009426.13
r850	NC_009426.14
r851	NC_009427.20
r852	NC_009427.21
r853	NC_009427.22
r854	NC_009427.23
r855	NC_009427.24
r856	NC_007796.0
r857	NC_007796.1
r858	NC_007796.2
r859	NC_007796.3
r860	NC_007796.4
r861	NC_007802.0
r862	NC_007802.1
r863	NC_007802.2
r864	NC_007802.3
r865	NC_007802.4
r866	NC_007801.10
r867	NC_007801.11
r868	NC_007801.12
r869	NC_007801.13
r870	NC_007801.14
r871	NC_007798.0
r872	NC_007798.1
r873	NC_007798.2
r874	NC_007798.3
r875	NC_007798.4
r876	NC_007799.0
r877	NC_007799.1
r878	NC_007799.2
r879	NC_007799.3
r880	NC_007799.4
r881	NC_007908.0
r882	NC_007908.1
r883	NC_007908.2
r884	NC_007908.3
r885	NC_007908.4
r886	NC_007901.10
r887	NC_007901.11
r888	NC_007901.12
r889	NC_007901.13
r890	NC_007901.14
r891	NC_007907.0
r892	NC_007907.1
r893	NC_007907.2
r894	NC_007907.3
r895	NC_007907.4
r896	NC_008268.0
r897	NC_008268.1
r898	NC_008268.2
r899	NC_008268.3
r900	NC_008268.4
r901	NC_008269.10
r902	NC_008269.11
r903	NC_008269.12
r904	NC_008269.13
r905	NC_008269.14
r906	NC_008270.20
r907	NC_008270.21
r908	NC_008270.22
r909	NC_008270.23
r910	NC_008270.24
r911	NC_008271.30
r912	NC_008271.31
r913	NC_008271.32
r914	NC_008271.33
r915	NC_008271.34
r916	NC_007899.0
r917	NC_007899.1
r918	NC_007899.2
r919	NC_007899.3
r920	NC_007899.4
r921	NC_007929.0
r922	NC_007929.1
r923	NC_007929.2
r924	NC_007929.3
r925	NC_007929.4
r926	NC_006530.10
r927	NC_006530.11
r928	NC_006530.12
r929	NC_006530.13
r930	NC_006530.14
r931	NC_007930.20
r932	NC_007930.21
r933	NC_007930.22
r934	NC_007930.23
r935	NC_007930.24
r936	NC_007954.0
r937	NC_007954.1
r938	NC_007954.2
r939	NC_007954.3
r940	NC_007954.4
r941	NC_007948.0
r942	NC_007948.1
r943	NC_007948.2
r944	NC_007948.3
r945	NC_007948.4
r946	NC_007949.10
r947	NC_007949.11
r948	NC_007949.12
r949	NC_007949.13
r950	NC_007949.14
r951	NC_007950.20
r952	NC_007950.21
r953	NC_007950.22
r954	NC_007950.23
r955	NC_007950.24
r956	NC_007947.0
r957	NC_007947.1
r958	NC_007947.2
r959	NC_007947.3
r960	NC_007947.4
r961	NC_007955.0
r962	NC_007955.1
r963	NC_007955.2
r964	NC_007955.3
r965	NC_007955.4
r966	NC_007952.0
r967	NC_007952.1
r968	NC_007952.2
r969	NC_007952.3
r970	NC_007952.4
r971	NC_007953.10
r972	NC_007953.11
r973	NC_007953.12
r974	NC_007953.13
r975	NC_007953.14
r976	NC_007951.20
r977	NC_007951.21
r978	NC_007951.22
r979	NC_007951.23
r980	NC_007951.24
r981	NC_007759.0
r982	NC_007759.1
r983	NC_007759.2
r984	NC_007759.3
r985	NC_007759.4
r986	NC_007964.0
r987	NC_007964.1
r988	NC_007964.2
r989	NC_007964.3
r990	NC_007964.4
r991	NC_007959.10
r992	NC_007959.11
r993	NC_007959.12
r994	NC_007959.13
r995	NC_007959.14
r996	NC_007960.20
r997	NC_007960.21
r998	NC_007960.22
r999	NC_007960.23
r1000	NC_007960.24
r1001	NC_007961.30
r1002	NC_007961.31
r1003	NC_007961.32
r1004	NC_007961.33
r1005	NC_007961.34
r1006	NC_007963.0
r1007	NC_007963.1
r1008	NC_007963.2
r1009	NC_007963.3
r1010	NC_007963.4
r1011	NC_008044.0
r1012	NC_008044.1
r1013	NC_008044.2
r1014	NC_008044.3
r1015	NC_008044.4
r1016	NC_008042.10
r1017	NC_008042.11
r1018	NC_008042.12
r1019	NC_008042.13
r1020	NC_008042.14
r1021	NC_008043.20
r1022	NC_008043.21
r1023	NC_008043.22
r1024	NC_008043.23
r1025	NC_008043.24
r1026	NC_007973.0
r1027	NC_007973.1
r1028	NC_007973.2
r1029	NC_007973.3
r1030	NC_007973.4
r1031	NC_007974.10
r1032	NC_007974.11
r1033	NC_007974.12
r1034	NC_007974.13
r1035	NC_007974.14
r1036	NC_007971.20
r1037	NC_007971.21
r1038	NC_007971.22
r1039	NC_007971.23
r1040	NC_007971.24
r1041	NC_007972.30
r1042	NC_007972.31
r1043	NC_007972.32
r1044	NC_007972.33
r1045	NC_007972.34
r1046	NC_007969.0
r1047	NC_007969.1
r1048	NC_007969.2
r1049	NC_007969.3
r1050	NC_007969.4
r1051	NC_007984.0
r1052	NC_007984.1
r1053	NC_007984.2
r1054	NC_007984.3
r1055	NC_007984.4
r1056	NC_008011.0
r1057	NC_008011.1
r1058	NC_008011.2
r1059	NC_008011.3
r1060	NC_008011.4
r1061	NC_008014.10
r1062	NC_008014.11
r1063	NC_008014.12
r1064	NC_008014.13
r1065	NC_008014.14
r1066	NC_008025.0
r1067	NC_008025.1
r1068	NC_008025.2
r1069	NC_008025.3
r1070	NC_008025.4
r1071	NC_008010.10
r1072	NC_008010.11
r1073	NC_008010.12
r1074	NC_008010.13
r1075	NC_008010.14
r1076	NC_009939.20
r1077	NC_009939.21
r1078	NC_009939.22
r1079	NC_009939.23
r1080	NC_009939.24
r1081	NC_008048.0
r1082	NC_008048.1
r1083	NC_008048.2
r1084	NC_008048.3
r1085	NC_008048.4
r1086	NC_008254.0
r1087	NC_008254.1
r1088	NC_008254.2
r1089	NC_008254.3
r1090	NC_008254.4
r1091	NC_008242.10
r1092	NC_008242.11
r1093	NC_008242.12
r1094	NC_008242.13
r1095	NC_008242.14
r1096	NC_008243.20
r1097	NC_008243.21
r1098	NC_008243.22
r1099	NC_008243.23
r1100	NC_008243.24
r1101	NC_008146.0
r1102	NC_008146.1
r1103	NC_008146.2
r1104	NC_008146.3
r1105	NC_008146.4
r1106	NC_008147.10
r1107	NC_008147.11
r1108	NC_008147.12
r1109	NC_008147.13
r1110	NC_008147.14
r1111	NC_008148.0
r1112	NC_008148.1
r1113	NC_008148.2
r1114	NC_008148.3
r1115	NC_008148.4
r1116	NC_008228.0
r1117	NC_008228.1
r1118	NC_008228.2
r1119	NC_008228.3
r1120	NC_008228.4
r1121	NC_008528.0
r1122	NC_008528.1
r1123	NC_008528.2
r1124	NC_008528.3
r1125	NC_008528.4
r1126	NC_008229.0
r1127	NC_008229.1
r1128	NC_008229.2
r1129	NC_008229.3
r1130	NC_008229.4
r1131	NC_008212.0
r1132	NC_008212.1
r1133	NC_008212.2
r1134	NC_008212.3
r1135	NC_008212.4
r1136	NC_008209.0
r1137	NC_008209.1
r1138	NC_008209.2
r1139	NC_008209.3
r1140	NC_008209.4
r1141	NC_008386.10
r1142	NC_008386.11
r1143	NC_008386.12
r1144	NC_008386.13
r1145	NC_008386.14
r1146	NC_008387.20
r1147	NC_008387.21
r1148	NC_008387.22
r1149	NC_008387.23
r1150	NC_008387.24
r1151	NC_008277.0
r1152	NC_008277.1
r1153	NC_008277.2
r1154	NC_008277.3
r1155	NC_008277.4
r1156	NC_008564.10
r1157	NC_008564.11
r1158	NC_008564.12
r1159	NC_008564.13
r1160	NC_008564.14
r1161	NC_008565.20
r1162	NC_008565.21
r1163	NC_008565.22
r1164	NC_008565.23
r1165	NC_008565.24
r1166	NC_008567.30
r1167	NC_008567.31
r1168	NC_008567.32
r1169	NC_008567.33
r1170	NC_008567.34
r1171	NC_008278.0
r1172	NC_008278.1
r1173	NC_008278.2
r1174	NC_008278.3
r1175	NC_008278.4
r1176	NC_008312.0
r1177	NC_008312.1
r1178	NC_008312.2
r1179	NC_008312.3
r1180	NC_008312.4
r1181	NC_008255.0
r1182	NC_008255.1
r1183	NC_008255.2
r1184	NC_008255.3
r1185	NC_008255.4
r1186	NC_008319.0
r1187	NC_008319.1
r1188	NC_008319.2
r1189	NC_008319.3
r1190	NC_008319.4
r1191	NC_008698.0
r1192	NC_008698.1
r1193	NC_008698.2
r1194	NC_008698.3
r1195	NC_008698.4
r1196	NC_008696.10
r1197	NC_008696.11
r1198	NC_008696.12
r1199	NC_008696.13
r1200	NC_008696.14
r1201	NC_008344.0
r1202	NC_008344.1
r1203	NC_008344.2
r1204	NC_008344.3
r1205	NC_008344.4
r1206	NC_008341.10
r1207	NC_008341.11
r1208	NC_008341.12
r1209	NC_008341.13
r1210	NC_008341.14
r1211	NC_008342.20
r1212	NC_008342.21
r1213	NC_008342.22
r1214	NC_008342.23
r1215	NC_008342.24
r1216	NC_008346.0
r1217	NC_008346.1
r1218	NC_008346.2
r1219	NC_008346.3
r1220	NC_008346.4
r1221	NC_008347.0
r1222	NC_008347.1
r1223	NC_008347.2
r1224	NC_008347.3
r1225	NC_008347.4
r1226	NC_008358.0
r1227	NC_008358.1
r1228	NC_008358.2
r1229	NC_008358.3
r1230	NC_008358.4
r1231	NC_008390.0
r1232	NC_008390.1
r1233	NC_008390.2
r1234	NC_008390.3
r1235	NC_008390.4
r1236	NC_008391.10
r1237	NC_008391.11
r1238	NC_008391.12
r1239	NC_008391.13
r1240	NC_008391.14
r1241	NC_008392.20
r1242	NC_008392.21
r1243	NC_008392.22
r1244	NC_008392.23
r1245	NC_008392.24
r1246	NC_009615.0
r1247	NC_009615.1
r1248	NC_009615.2
r1249	NC_009615.3
