NC_008387	Flavobacterium psychrophilum JIP02 86
NC_007947	Lawsonia intracellularis PHE MN1 00
NC_011498	Legionella pneumophila str. Corby
NC_010263	Salmonella enterica subsp. enterica serovar Typhi str. Ty2
NC_009671	Nitrobacter hamburgensis X14
NC_006933	Brucella abortus bv. 1 str. 9 941
NC_011296	Mycoplasma genitalium G37
NC_009882	Shewanella baltica OS155
NC_010572	Nostoc punctiforme PCC 73102
NC_009616	Burkholderia vietnamiensis G4
NC_009621	Burkholderia vietnamiensis G4
NC_003210	Mycobacterium tuberculosis H37Rv
NC_004310	Brucella suis 1330
NC_007530	Bacillus anthracis str.  Ames Ancestor 
NC_007275	Rhizobium leguminosarum bv. trifolii WSM2304
NC_010657	Staphylococcus aureus subsp. aureus MRSA252
NC_005813	Tropheryma whipplei TW08 27
NC_008435	Salmonella enterica subsp. enterica serovar Heidelberg str. SL476
NC_009780	Streptomyces avermitilis MA 4680
NC_010844	Pseudomonas putida KT2440
NC_008120	Xanthomonas campestris pv. campestris str. 8004
NC_008570	Anaplasma marginale str. St. Maries
NC_009699	Clostridium botulinum F str. Langeland
NC_009926	Aeromonas hydrophila subsp. hydrophila ATCC 7966
NC_010530	Erwinia tasmaniensis Et1 99
NC_009848	Methanocaldococcus jannaschii DSM 2661
NC_010528	Erwinia tasmaniensis Et1 99
NC_011229	Rickettsia massiliae MTU5
NC_009040	Salmonella enterica subsp. enterica serovar Dublin str. CT 02021853
NC_007513	Salmonella enterica subsp. enterica serovar Typhi str. CT18
NC_007412	Arthrobacter aurescens TC1
NC_009976	Pseudomonas syringae pv. tomato str. DC3000
NC_003910	Xanthomonas axonopodis pv. citri str. 306
NC_003131	Streptococcus pyogenes MGAS9429
NC_005139	Acaryochloris marina MBIC11017
NC_010085	Rickettsia felis URRWXCal2
NC_010503	Burkholderia phymatum STM815
NC_010698	Legionella pneumophila str. Paris
NC_008390	Lactobacillus salivarius UCC118
NC_001263	Caulobacter sp. K31
NC_002578	Symbiobacterium thermophilum IAM 14863
NC_007954	Cupriavidus metallidurans CH34
NC_009879	Thermotoga maritima MSB8
NC_008696	Ochrobactrum anthropi ATCC 49188
NC_008277	Clostridium beijerinckii NCIMB 8052
NC_002506	Legionella pneumophila str. Lens
NC_006270	Bacillus licheniformis ATCC 14580
NC_008686	Bradyrhizobium sp. ORS 278
NC_002947	Prochlorococcus marinus subsp. pastoris str. CCMP1986
NC_007507	Vibrio fischeri MJ11
NC_005295	Ehrlichia ruminantium str. Welgevonden
NC_009788	Escherichia coli E24377A
NC_009464	Haloarcula marismortui ATCC 43049
NC_010161	Cupriavidus taiwanensis LMG 19424
NC_009436	Burkholderia ambifaria AMMD
NC_010376	Bacillus weihenstephanensis KBAB4
NC_008942	Clostridium thermocellum ATCC 27405
NC_007798	Nanoarchaeum equitans Kin4 M
NC_009053	Actinobacillus pleuropneumoniae serovar 5b str. L20
NC_009227	Candidatus Vesicomyosocius okutanii HA
NC_006086	Yersinia pseudotuberculosis IP 31758
NC_011047	Halobacterium sp. NRC 1
NC_009049	Salmonella enterica subsp. enterica serovar Enteritidis str. P125109
NC_011145	Bradyrhizobium japonicum USDA 110
NC_010676	Hahella chejuensis KCTC 2396
NC_009012	Methanoculleus marisnigri JR1
NC_011369	Rhodobacter sphaeroides ATCC 17029
NC_008545	Burkholderia cenocepacia HI2424
NC_008340	Arthrobacter sp. FB24
NC_001869	Streptococcus gordonii str. Challis substr. CH1
NC_010846	Mycobacterium bovis AF2122 97
NC_009954	Bordetella avium 197N
NC_011282	Legionella pneumophila subsp. pneumophila str. Philadelphia 1
NC_007333	Mycoplasma capricolum subsp. capricolum ATCC 27343
NC_008786	Nocardioides sp. JS614
NC_008757	Nocardioides sp. JS614
NC_009455	Clostridium difficile 630
NC_007296	Yersinia pseudotuberculosis YPIII
NC_009634	Polaromonas sp. JS666
NC_010380	Synechococcus elongatus PCC 6301
NC_008380	Rhodopseudomonas palustris BisB5
NC_011027	Chloroherpeton thalassium ATCC 35110
NC_010682	Methanoregula boonei 6A8
NC_008710	Halobacterium sp. NRC 1
NC_008791	Vibrio harveyi ATCC BAA 1116
NC_010407	Clavibacter michiganensis subsp. sepedonicus
NC_006823	Candidatus Blochmannia floridanus
NC_007778	Salmonella enterica subsp. enterica serovar Paratyphi A str. AKU 12601
NC_008761	Methylibium petroleiphilum PM1
NC_004337	Stenotrophomonas maltophilia R551 3
NC_007618	Brucella melitensis biovar Abortus 2308
NC_007595	Yersinia pestis Pestoides F
NC_000922	Chlamydophila pneumoniae CWL029
NC_009051	Xanthobacter autotrophicus Py2
NC_007762	Rhizobium leguminosarum bv. viciae 3841
NC_003361	Candidatus Ruthia magnifica str. Cm  Calyptogena magnifica 
NC_005072	Pseudomonas syringae pv. syringae B728a
NC_010793	Pseudomonas fluorescens Pf 5
NC_004041	Rhodobacter sphaeroides 2.4.1
NC_007348	Rhizobium leguminosarum bv. viciae 3841
NC_006393	Synechocystis sp. PCC 6803
NC_002163	Campylobacter jejuni subsp. jejuni NCTC 11168
NC_010371	Bacillus weihenstephanensis KBAB4
NC_010468	Escherichia coli ATCC 8739
NC_006365	Methanococcus maripaludis C7
NC_006156	Verminephrobacter eiseniae EF01 2
NC_008313	Rhizobium etli CFN 42
NC_011375	Yersinia pestis Antiqua
NC_009952	Methanopyrus kandleri AV19
NC_008553	Dinoroseobacter shibae DFL 12
NC_007492	Rhizobium etli CIAT 652
NC_005140	Acaryochloris marina MBIC11017
NC_005773	Rhizobium etli CIAT 652
NC_009475	Shewanella putrefaciens CN 32
NC_000918	Borrelia burgdorferi B31
NC_011370	Rhodobacter sphaeroides ATCC 17025
NC_001857	Chlamydophila abortus S26 3
NC_007494	Salmonella enterica subsp. enterica serovar Choleraesuis str. SC B67
NC_010175	Synechococcus sp. PCC 7002
NC_002528	Buchnera aphidicola str. APS  Acyrthosiphon pisum 
NC_009092	Bacillus amyloliquefaciens FZB42
NC_005230	Shewanella sp. MR 4
NC_006510	Gluconobacter oxydans 621H
NC_010814	Burkholderia phymatum STM815
NC_009749	Klebsiella pneumoniae 342
NC_002505	Legionella pneumophila str. Lens
NC_006360	Prochlorococcus marinus str. MIT 9312
NC_010801	Burkholderia multivorans ATCC 17616
NC_010673	Haloarcula marismortui ATCC 43049
NC_010509	Mycoplasma arthritidis 158L3 1
NC_007434	Burkholderia pseudomallei 1710b
NC_007644	Onion yellows phytoplasma OY M
NC_006824	Candidatus Blochmannia pennsylvanicus str. BPEN
NC_011081	Shigella boydii Sb227
NC_011146	Methylobacterium populi BJ001
AC_000091	Vibrio cholerae O1 biovar El Tor str. N16961
NC_010725	Thermoplasma volcanium GSS1
NC_008392	Lactobacillus salivarius UCC118
NC_008510	Pseudomonas putida W619
NC_001855	Chlamydia muridarum Nigg
NC_009377	Thermus thermophilus HB27
NC_009566	Lactobacillus delbrueckii subsp. bulgaricus ATCC 11842
NC_010184	Candidatus Korarchaeum cryptofilum OPF8
NC_009633	Arthrobacter sp. FB24
NC_010996	Rhodobacter sphaeroides ATCC 17025
NC_007520	Bordetella parapertussis 12822
NC_009074	Burkholderia pseudomallei 668
NC_005966	Aliivibrio salmonicida LFI1238
NC_008122	Xanthomonas campestris pv. campestris str. ATCC 33913
NC_009714	Thiomicrospira crunogena XCL 2
NC_011147	Shigella flexneri 5 str. 8401
NC_002758	Streptococcus pneumoniae G54
NC_009943	Methylobacterium sp. 4 46
NC_007794	Mycoplasma mobile 163K
NC_009667	Burkholderia xenovorans LB400
NC_002951	Streptococcus agalactiae 2603V R
NC_009523	Synechococcus sp. CC9311
NC_008530	Bacillus pumilus SAFR 032
NC_011001	Burkholderia cenocepacia J2315
NC_009786	Escherichia coli E24377A
NC_009332	Yersinia pestis Angola
NC_006834	Vibrio vulnificus CMCP6
NC_010473	Francisella tularensis subsp. holarctica FTNF002 00
NC_008760	Methylibium petroleiphilum PM1
NC_009933	Agrobacterium tumefaciens str. C58
NC_006392	Synechococcus sp. WH 8102
NC_010740	Brucella abortus S19
NC_003912	Campylobacter jejuni RM1221
NC_003366	Clostridium perfringens str. 13
NC_009425	Burkholderia ambifaria AMMD
NC_011281	Leptospira biflexa serovar Patoc strain  Patoc 1  Ames  
NC_007765	Rhodobacter sphaeroides 2.4.1
NC_006856	Shewanella baltica OS155
NC_010070	Burkholderia multivorans ATCC 17616
NC_007146	Lactobacillus casei ATCC 334
NC_008242	Saccharophagus degradans 2 40
NC_007606	Magnetococcus sp. MC 1
NC_009831	Methanococcoides burtonii DSM 6242
NC_005070	Listeria welshimeri serovar 6b str. SLCC5334
NC_010382	Streptococcus mutans UA159
NC_008511	Mycobacterium tuberculosis CDC1551
NC_005071	Pseudomonas syringae pv. tomato str. DC3000
NC_005213	Photorhabdus luminescens subsp. laumondii TTO1
NC_011186	Acidiphilium cryptum JF 5
NC_002491	Chlamydophila pneumoniae J138
NC_004567	Shigella sonnei Ss046
NC_006512	Shigella dysenteriae Sd197
NC_004557	Methylococcus capsulatus str. Bath
NC_006348	Burkholderia mallei ATCC 23344
NC_009009	Pyrobaculum calidifontis JCM 11548
NC_008593	Bacteroides vulgatus ATCC 8482
NC_007961	Mycobacterium sp. MCS
NC_008698	Ochrobactrum anthropi ATCC 49188
NC_009617	Polaromonas sp. JS666
NC_008508	Mycobacterium tuberculosis F11
NC_009494	Listeria monocytogenes serotype 4b str. F2365
NC_007633	Candidatus Protochlamydia amoebophila UWE25
NC_002677	Petrotoga mobilis SJ95
NC_008610	Sinorhizobium medicae WSM419
NC_008269	Nitrosospira multiformis ATCC 25196
NC_010553	Nostoc punctiforme PCC 73102
NC_007575	Ehrlichia canis str. Jake
NC_008739	Caldicellulosiruptor saccharolyticus DSM 8903
NC_009441	Hyphomonas neptunium ATCC 15444
NC_008818	Pediococcus pentosaceus ATCC 25745
NC_007796	Mycoplasma pneumoniae M129
NC_008268	Nitrosomonas europaea ATCC 19718
NC_003413	Rhodococcus jostii RHA1
NC_008816	Pseudomonas syringae pv. phaseolicola 1448A
NC_005363	Psychromonas ingrahamii 37
NC_008342	Kineococcus radiotolerans SRS30216
NC_010117	Coxiella burnetii RSA 331
NC_008752	Aliivibrio salmonicida LFI1238
NC_007510	Hyperthermus butylicus DSM 5456
NC_011297	Salinispora arenicola CNS 205
NC_009349	Aquifex aeolicus VF5
NC_008701	Mesoplasma florum L1
NC_009973	Bartonella tribocorum CIP 105476
NC_010842	Mycobacterium avium subsp. paratuberculosis K 10
NC_007713	Sulfolobus tokodaii str. 7
NC_011205	Shigella boydii CDC 3083 94
NC_009767	Wolbachia endosymbiont strain TRS of Brugia malayi
NC_008609	Mesorhizobium loti MAFF303099
NC_007410	Arthrobacter aurescens TC1
NC_008835	Burkholderia mallei NCTC 10229
NC_007204	Rhodoferax ferrireducens T118
NC_007385	Ignicoccus hospitalis KIN4 I
NC_010334	Leuconostoc citreum KM20
NC_003902	Vibrio fischeri ES114
NC_006363	Clostridium tetani E88
NC_011333	Lactococcus lactis subsp. cremoris MG1363
NC_011350	Haemophilus somnus 129PT
NC_009230	Sulfurovum sp. NBC37 1
NC_000915	Lactococcus lactis subsp. lactis Il1403
NC_006462	Acinetobacter baumannii ATCC 17978
NC_010611	Candidatus Koribacter versatilis Ellin345
NC_008345	Mesorhizobium loti MAFF303099
NC_010939	Actinobacillus pleuropneumoniae serovar 7 str. AP76
NC_004116	Streptococcus pyogenes SSI 1
NC_005791	Neisseria meningitidis Z2491
NC_008783	Streptococcus sanguinis SK36
NC_008043	Helicobacter acinonychis str. Sheeba
NC_010555	Chlorobium limicola DSM 245
NC_009511	Brucella ovis ATCC 25840
NC_006677	Bartonella quintana str. Toulouse
NC_010697	Borrelia recurrentis A1
NC_007576	Ruegeria pomeroyi DSS 3
NC_009337	Cytophaga hutchinsonii ATCC 33406
NC_009229	Bradyrhizobium sp. BTAi1
NC_010067	Shewanella baltica OS195
NC_008769	Porphyromonas gingivalis ATCC 33277
NC_009727	Coxiella burnetii Dugway 5J108 111
NC_009507	Mycoplasma agalactiae PG2
NC_009925	Acinetobacter sp. ADP1
NC_004671	Geobacter metallireducens GS 15
NC_008825	Salinispora tropica CNB 440
NC_008598	Bacillus thuringiensis str. Al Hakam
NC_007950	Lawsonia intracellularis PHE MN1 00
NC_007298	Thermoanaerobacter sp. X514
NC_004547	Geobacter sulfurreducens PCA
NC_009466	Metallosphaera sedula DSM 5348
NC_008009	Alteromonas macleodii str.  Deep ecotype 
NC_008384	Rickettsia bellii OSU 85 389
NC_007722	Sulfolobus acidocaldarius DSM 639
NC_005707	Bacillus cereus ATCC 10987
NC_003134	Streptococcus pyogenes str. Manfredo
NC_009076	Burkholderia pseudomallei 1106a
NC_010529	Beijerinckia indica subsp. indica ATCC 9039
NC_008687	Synechococcus sp. WH 7803
NC_006449	Yersinia pestis KIM 10
NC_009446	Mycobacterium sp. JLS
NC_007705	Vibrio vulnificus YJ016
NC_007607	Lysinibacillus sphaericus C3 41
NC_004368	Streptococcus suis 98HAH33
NC_010002	Burkholderia ambifaria MC40 6
NC_011083	Shigella flexneri 2a str. 301
NC_007959	Chelativorans sp. BNC1
NC_002932	Methanosarcina barkeri str. Fusaro
NC_000868	Desulfitobacterium hafniense Y51
NC_007336	Rhizobium leguminosarum bv. viciae 3841
NC_011149	Shewanella baltica OS195
NC_008254	Propionibacterium acnes KPA171202
NC_010524	Candidatus Desulforudis audaxviator MP104C
NC_009712	Thiobacillus denitrificans ATCC 25259
NC_006840	Acholeplasma laidlawii PG 8A
NC_007716	Borrelia garinii PBi
NC_011035	Pseudomonas aeruginosa PAO1
NC_005043	Chlamydophila pneumoniae TW 183
NC_003997	Bacillus anthracis str. Ames
NC_004838	Xanthomonas campestris pv. vesicatoria str. 85 10
NC_004633	Rhizobium leguminosarum bv. viciae 3841
NC_007482	Ehrlichia chaffeensis str. Arkansas
NC_008086	Lactococcus lactis subsp. cremoris SK11
NC_010679	Haloarcula marismortui ATCC 43049
NC_009381	Thermus thermophilus HB8
NC_009921	Wigglesworthia glossinidia endosymbiont of Glossina brevipalpis
NC_008759	Yersinia enterocolitica subsp. enterocolitica 8081
NC_009007	Salmonella enterica subsp. enterica serovar Paratyphi A str. ATCC 9150
NC_009484	Alkaliphilus metalliredigens QYMF
NC_010182	Methylobacterium radiotolerans JCM 2831
NC_008712	Burkholderia sp. 383
NC_008541	Nostoc sp. PCC 7120
NC_006832	Ehrlichia ruminantium str. Welgevonden
NC_008726	Dinoroseobacter shibae DFL 12
NC_008528	Novosphingobium aromaticivorans DSM 12444
NC_009706	Flavobacterium johnsoniae UW101
NC_004572	Acinetobacter baumannii SDF
NC_004061	Buchnera aphidicola str. Sg  Schizaphis graminum 
NC_010581	Ralstonia pickettii 12J
NC_008525	Dichelobacter nodosus VCS1703A
NC_008537	Nostoc sp. PCC 7120
NC_006351	Burkholderia pseudomallei K96243
NC_010694	Borrelia recurrentis A1
NC_010634	Xylella fastidiosa M12
NC_005229	Methanosaeta thermophila PT
NC_011247	Frankia sp. EAN1pec
NC_009956	Ralstonia solanacearum GMI1000
NC_010512	Burkholderia cenocepacia MC0 3
NC_004631	Staphylococcus aureus subsp. aureus MW2
NC_006905	Shewanella baltica OS185
NC_008740	Thermosipho melanesiensis BI429
NC_001988	Mycobacterium leprae TN
NC_007766	Rhodobacter sphaeroides 2.4.1
NC_007355	Halobacterium salinarum R1
NC_008022	Yersinia pseudotuberculosis IP 32953
NC_008513	Buchnera aphidicola str. Cc  Cinara cedri 
NC_010513	Vibrio cholerae O395
NC_011184	Acidithiobacillus ferrooxidans ATCC 53993
NC_002953	Streptococcus pyogenes MGAS2096
NC_008147	Thermodesulfovibrio yellowstonii DSM 11347
NC_009430	Salmonella enterica subsp. enterica serovar Agona str. SL483
NC_009784	Geobacillus thermodenitrificans NG80 2
NC_004552	Halorhodospira halophila SL1
NC_007907	Nitrosococcus oceani ATCC 19707
NC_009615	Shewanella denitrificans OS217
NC_004070	Yersinia pseudotuberculosis PB1  
NC_010410	Acidovorax sp. JS42
NC_003064	Anaeromyxobacter sp. Fw109 5
NC_011415	Haemophilus influenzae 86 028NP
NC_004606	Yersinia pestis Antiqua
NC_006672	Bartonella henselae str. Houston 1
NC_002696	Marinobacter aquaeolei VT8
NC_008262	Clostridium perfringens SM101
NC_009138	Lactobacillus brevis ATCC 367
NC_002162	Acaryochloris marina MBIC11017
NC_007604	Yersinia pestis Pestoides F
NC_010547	Dechloromonas aromatica RCB
NC_002946	Prochlorococcus marinus str. NATL2A
NC_008781	Methanocorpusculum labreanum Z
NC_007963	Rubrobacter xylanophilus DSM 9941
NC_004719	Burkholderia phytofirmans PsJN
NC_008787	Campylobacter jejuni subsp. jejuni 81 176
NC_004431	Escherichia coli CFT073
NC_010158	Xanthomonas oryzae pv. oryzae MAFF 311018
NC_010498	Helicobacter pylori HPAG1
NC_008767	Ralstonia eutropha H16
NC_009669	Nitrobacter hamburgensis X14
NC_009663	Pseudomonas mendocina ymp
NC_007948	Psychrobacter cryohalolentis K5
NC_006570	Klebsiella pneumoniae subsp. pneumoniae MGH 78578
NC_009997	Staphylococcus aureus subsp. aureus USA300 TCH1516
NC_010632	Elusimicrobium minutum Pei191
NC_003228	Bacteroides fragilis NCTC 9343
NC_010830	Citrobacter koseri ATCC BAA 895
NC_008820	Ralstonia eutropha JMP134
NC_006361	Clostridium acetobutylicum ATCC 824
NC_003267	Polaromonas naphthalenivorans CJ2
NC_009782	Streptococcus pneumoniae D39
NC_009443	Yersinia pestis KIM 10
NC_010397	Corynebacterium urealyticum DSM 7109
NC_009974	Bacillus weihenstephanensis KBAB4
NC_009665	Staphylococcus aureus subsp. aureus str. Newman
NC_009085	Acidovorax sp. JS42
NC_011374	Acaryochloris marina MBIC11017
NC_004460	Acaryochloris marina MBIC11017
NC_005090	Natranaerobius thermophilus JW NM WN LF
NC_010104	Rickettsia prowazekii str. Madrid E
NC_010103	Rickettsia felis URRWXCal2
NC_009654	Nitrobacter hamburgensis X14
NC_008600	Bacillus thuringiensis str. Al Hakam
NC_010520	Clostridium botulinum A3 str. Loch Maree
NC_003112	Ralstonia eutropha H16
NC_008703	Chlorobium phaeovibrioides DSM 265
NC_004344	Pectobacterium atrosepticum SCRI1043
NC_008347	Janthinobacterium sp. Marseille
NC_007941	Helicobacter pylori P12
NC_002662	Leptospira interrogans serovar Copenhageni str. Fiocruz L1 130
NC_009800	Francisella tularensis subsp. tularensis WY96 3418
NC_000961	Rhodococcus jostii RHA1
NC_007972	Pseudoalteromonas haloplanktis TAC125
NC_009838	Escherichia coli APEC O1
NC_008532	Yersinia pestis Nepal516
NC_007498	Pseudomonas entomophila L48
NC_008383	Rhodopseudomonas palustris TIE 1
NC_003078	Pelobacter propionicus DSM 2379
NC_004668	Shewanella oneidensis MR 1
NC_009674	Bacillus cytotoxicus NVH 391 98
NC_008258	Yersinia pestis CO92
NC_010551	Geobacter lovleyi SZ
NC_009482	Ruegeria sp. TM1040
NC_003273	Polaromonas naphthalenivorans CJ2
NC_007801	Mycoplasma synoviae 53
NC_009725	Trichodesmium erythraeum IMS101
NC_009778	Streptomyces avermitilis MA 4680
NC_009339	Paracoccus denitrificans PD1222
NC_010404	Acidovorax sp. JS42
NC_008576	Candidatus Sulcia muelleri GWSS
NC_010424	Beijerinckia indica subsp. indica ATCC 9039
NC_009033	Fervidobacterium nodosum Rt17 B1
NC_009649	Leptospira biflexa serovar Patoc strain  Patoc 1  Ames  
NC_006569	Pyrobaculum islandicum DSM 4184
NC_007517	Bacillus halodurans C 125
NC_009901	Treponema denticola ATCC 35405
NC_007969	Psychrobacter arcticus 273 4
NC_008564	Methanococcus vannielii SB
NC_008766	Anabaena variabilis ATCC 29413
NC_010162	Synechococcus sp. PCC 7002
NC_010124	Mycobacterium abscessus ATCC 19977
NC_011002	Burkholderia cenocepacia J2315
NC_008245	Helicobacter pylori Shi470
NC_008539	Nostoc sp. PCC 7120
NC_009668	Syntrophus aciditrophicus SB
NC_009226	Geobacter uraniireducens Rf4
NC_002937	Desulfovibrio vulgaris str. Hildenborough
NC_009437	Burkholderia vietnamiensis G4
NC_008024	Yersinia pseudotuberculosis IP 31758
NC_007760	Nostoc sp. PCC 7120
NC_011368	Rhodobacter sphaeroides ATCC 17029
NC_005126	Deinococcus radiodurans R1
NC_009342	Corynebacterium glutamicum R
NC_009089	Nitratiruptor sp. SB155 2
NC_003143	Streptococcus pyogenes NZ131
NC_010544	Thermoplasma acidophilum DSM 1728
NC_009488	Pseudomonas aeruginosa UCBPP PA14
NC_004461	Streptococcus pyogenes MGAS315
NC_002620	Campylobacter fetus subsp. fetus 82 40
NC_008048	Leifsonia xyli subsp. xyli str. CTCB07
NC_005838	Acinetobacter baumannii ACICU
